"lat","long","year","pop1","citystate","agg_per100k"
41.08,-81.52,1997,223562,"Akron OH",0
41.08,-81.52,1998,218044,"Akron OH",0
40.09,-85.69,2000,59734,"Anderson IN",0
40.09,-85.69,2003,59202,"Anderson IN",0
40.09,-85.69,1997,62030,"Anderson IN",0
40.09,-85.69,2001,60071,"Anderson IN",0
40.09,-85.69,1999,58962,"Anderson IN",0
40.09,-85.69,1995,61385,"Anderson IN",0
40.09,-85.69,1996,61787,"Anderson IN",0
40.09,-85.69,2002,60506,"Anderson IN",0
40.09,-85.69,1994,61362,"Anderson IN",0
44.27,-88.4,1998,58501,"Appleton WI",0
44.27,-88.4,1964,50261,"Appleton WI",0
44.27,-88.4,1965,53130,"Appleton WI",0
44.27,-88.4,1968,55062,"Appleton WI",0
42.09,-87.98,2004,76143,"Arlington Heights IL",0
42.09,-87.98,2000,76031,"Arlington Heights IL",0
42.09,-87.98,2005,75475,"Arlington Heights IL",0
42.09,-87.98,1997,78387,"Arlington Heights IL",0
42.09,-87.98,1999,77050,"Arlington Heights IL",0
42.09,-87.98,2001,76417,"Arlington Heights IL",0
42.09,-87.98,1996,78064,"Arlington Heights IL",0
42.09,-87.98,1998,77564,"Arlington Heights IL",0
42.09,-87.98,1995,77952,"Arlington Heights IL",0
42.09,-87.98,2003,76743,"Arlington Heights IL",0
42.09,-87.98,2002,77141,"Arlington Heights IL",0
42.42,-71.16,1965,52482,"Arlington MA",0
42.42,-71.16,1963,50878,"Arlington MA",0
39.71,-104.73,1963,35820,"Aurora CO",0
33.42,-112.32,2005,61194,"Avondale AZ",0
33.42,-112.32,2004,56308,"Avondale AZ",0
39.3,-76.61,1999,650588,"Baltimore MD",0
42.3,-85.23,1994,54791,"Battle Creek MI",0
33.89,-118.13,1963,51750,"Bellflower CA",0
33.89,-118.13,1966,55500,"Bellflower CA",0
33.89,-118.13,1968,57075,"Bellflower CA",0
33.89,-118.13,1970,51454,"Bellflower CA",0
33.89,-118.13,1964,51375,"Bellflower CA",0
33.89,-118.13,1969,57291,"Bellflower CA",0
33.89,-118.13,1965,55500,"Bellflower CA",0
33.89,-118.13,1967,55500,"Bellflower CA",0
41.84,-87.79,2001,54290,"Berwyn IL",0
41.84,-87.79,2000,54016,"Berwyn IL",0
41.84,-87.79,2002,54805,"Berwyn IL",0
41.84,-87.79,2003,53533,"Berwyn IL",0
41.84,-87.79,2006,51685,"Berwyn IL",0
41.84,-87.79,2007,50385,"Berwyn IL",0
41.84,-87.79,2005,52203,"Berwyn IL",0
41.84,-87.79,2004,52783,"Berwyn IL",0
41.84,-87.79,1972,52843,"Berwyn IL",0
40.63,-75.37,1960,55325,"Bethlehem PA",0
40.63,-75.37,1962,55870,"Bethlehem PA",0
45.79,-108.54,1995,87977,"Billings MT",0
45.79,-108.54,1998,91715,"Billings MT",0
45.79,-108.54,1994,87173,"Billings MT",0
45.79,-108.54,1963,56389,"Billings MT",0
45.79,-108.54,1996,88886,"Billings MT",0
45.79,-108.54,1993,85442,"Billings MT",0
30.41,-88.93,2006,50028,"Biloxi MS",0
30.41,-88.93,1976,51448,"Biloxi MS",0
40.81,-74.19,1961,51867,"Bloomfield NJ",0
40.48,-88.97,1996,56018,"Bloomington IL",0
40.48,-88.97,1995,55938,"Bloomington IL",0
40.48,-88.97,2003,67700,"Bloomington IL",0
40.48,-88.97,1999,59247,"Bloomington IL",0
40.48,-88.97,2000,64808,"Bloomington IL",0
40.48,-88.97,1998,58591,"Bloomington IL",0
40.48,-88.97,1997,56249,"Bloomington IL",0
40.48,-88.97,2005,69553,"Bloomington IL",0
40.48,-88.97,2001,65137,"Bloomington IL",0
40.48,-88.97,2004,68832,"Bloomington IL",0
40.48,-88.97,1993,54533,"Bloomington IL",0
40.48,-88.97,1994,54789,"Bloomington IL",0
40.48,-88.97,2002,65755,"Bloomington IL",0
26.37,-80.11,1988,62981,"Boca Raton FL",0
41.7,-88.08,1998,53747,"Bolingbrook IL",0
41.7,-88.08,2005,64561,"Bolingbrook IL",0
41.7,-88.08,2001,54850,"Bolingbrook IL",0
41.7,-88.08,2002,55371,"Bolingbrook IL",0
41.7,-88.08,1999,54662,"Bolingbrook IL",0
41.7,-88.08,2000,54573,"Bolingbrook IL",0
41.7,-88.08,2004,64545,"Bolingbrook IL",0
41.7,-88.08,2003,61184,"Bolingbrook IL",0
40.03,-105.25,1973,81039,"Boulder CO",0
40.03,-105.25,1971,69000,"Boulder CO",0
40.03,-105.25,1974,82522,"Boulder CO",0
40.03,-105.25,1972,74692,"Boulder CO",0
26.53,-80.08,1996,52871,"Boynton Beach FL",0
42.08,-71.03,1960,72813,"Brockton MA",0
42.08,-71.03,1990,92788,"Brockton MA",0
40.81,-81.37,1999,79592,"Canton OH",0
40.81,-81.37,2003,79873,"Canton OH",0
26.64,-82,1996,87690,"Cape Coral FL",0
26.64,-82,1988,54556,"Cape Coral FL",0
33.84,-118.26,1968,61125,"Carson CA",0
33.84,-118.26,1970,71150,"Carson CA",0
33.84,-118.26,1969,68506,"Carson CA",0
41.97,-91.67,1991,109465,"Cedar Rapids IA",0
41.97,-91.67,1992,110130,"Cedar Rapids IA",0
41.97,-91.67,1998,114996,"Cedar Rapids IA",0
41.97,-91.67,1995,113959,"Cedar Rapids IA",0
41.97,-91.67,1993,112096,"Cedar Rapids IA",0
41.97,-91.67,1994,112693,"Cedar Rapids IA",0
41.97,-91.67,1997,114360,"Cedar Rapids IA",0
41.97,-91.67,1996,114360,"Cedar Rapids IA",0
40.11,-88.26,1998,64997,"Champaign IL",0
40.11,-88.26,2000,67518,"Champaign IL",0
40.11,-88.26,1997,67707,"Champaign IL",0
40.11,-88.26,2003,69735,"Champaign IL",0
40.11,-88.26,1995,67332,"Champaign IL",0
40.11,-88.26,2001,67861,"Champaign IL",0
40.11,-88.26,1996,67428,"Champaign IL",0
40.11,-88.26,1999,64723,"Champaign IL",0
40.11,-88.26,1994,65119,"Champaign IL",0
40.11,-88.26,2005,70581,"Champaign IL",0
40.11,-88.26,2004,72300,"Champaign IL",0
40.11,-88.26,2002,68504,"Champaign IL",0
40.11,-88.26,1993,64815,"Champaign IL",0
36.68,-76.31,2001,202257,"Chesapeake VA",0
41.84,-87.68,1984,3012524,"Chicago IL",0
42.18,-72.57,1963,64360,"Chicopee MA",0
42.18,-72.57,1965,58377,"Chicopee MA",0
42.18,-72.57,1989,57880,"Chicopee MA",0
42.18,-72.57,1962,63256,"Chicopee MA",0
42.18,-72.57,1992,56458,"Chicopee MA",0
