"lat","lon","year","pop1","citystate","cw_vc"
41.0814447,-81.5190053,1997,223562,"Akron OH",0
41.0814447,-81.5190053,1998,218044,"Akron OH",0
40.1053196,-85.6802541,2000,59734,"Anderson IN",0
40.1053196,-85.6802541,2003,59202,"Anderson IN",0
40.1053196,-85.6802541,1997,62030,"Anderson IN",0
40.1053196,-85.6802541,2001,60071,"Anderson IN",0
40.1053196,-85.6802541,1999,58962,"Anderson IN",0
40.1053196,-85.6802541,1995,61385,"Anderson IN",0
40.1053196,-85.6802541,1996,61787,"Anderson IN",0
40.1053196,-85.6802541,2002,60506,"Anderson IN",0
40.1053196,-85.6802541,1994,61362,"Anderson IN",0
44.2619309,-88.4153847,1998,58501,"Appleton WI",0
42.0883603,-87.9806265,2004,76143,"Arlington Heights IL",0
42.0883603,-87.9806265,2000,76031,"Arlington Heights IL",0
42.0883603,-87.9806265,2005,75475,"Arlington Heights IL",0
42.0883603,-87.9806265,1997,78387,"Arlington Heights IL",0
42.0883603,-87.9806265,1999,77050,"Arlington Heights IL",0
42.0883603,-87.9806265,2001,76417,"Arlington Heights IL",0
42.0883603,-87.9806265,1996,78064,"Arlington Heights IL",0
42.0883603,-87.9806265,1998,77564,"Arlington Heights IL",0
42.0883603,-87.9806265,1995,77952,"Arlington Heights IL",0
42.0883603,-87.9806265,2003,76743,"Arlington Heights IL",0
42.0883603,-87.9806265,2002,77141,"Arlington Heights IL",0
33.4355977,-112.3496021,2005,61194,"Avondale AZ",0
33.4355977,-112.3496021,2004,56308,"Avondale AZ",0
39.2903848,-76.6121893,1999,650588,"Baltimore MD",0
42.3211522,-85.1797142,1994,54791,"Battle Creek MI",0
33.8816818,-118.1170117,1963,51750,"Bellflower CA",0
33.8816818,-118.1170117,1966,55500,"Bellflower CA",0
33.8816818,-118.1170117,1968,57075,"Bellflower CA",0
33.8816818,-118.1170117,1970,51454,"Bellflower CA",0
33.8816818,-118.1170117,1964,51375,"Bellflower CA",0
33.8816818,-118.1170117,1969,57291,"Bellflower CA",0
33.8816818,-118.1170117,1965,55500,"Bellflower CA",0
33.8816818,-118.1170117,1967,55500,"Bellflower CA",0
41.8505874,-87.7936685,2001,54290,"Berwyn IL",0
41.8505874,-87.7936685,2000,54016,"Berwyn IL",0
41.8505874,-87.7936685,2002,54805,"Berwyn IL",0
41.8505874,-87.7936685,2003,53533,"Berwyn IL",0
41.8505874,-87.7936685,2006,51685,"Berwyn IL",0
41.8505874,-87.7936685,2007,50385,"Berwyn IL",0
41.8505874,-87.7936685,2005,52203,"Berwyn IL",0
41.8505874,-87.7936685,2004,52783,"Berwyn IL",0
41.8505874,-87.7936685,1972,52843,"Berwyn IL",0
45.7832856,-108.5006904,1995,87977,"Billings MT",0
45.7832856,-108.5006904,1998,91715,"Billings MT",0
45.7832856,-108.5006904,1994,87173,"Billings MT",0
45.7832856,-108.5006904,1996,88886,"Billings MT",0
45.7832856,-108.5006904,1993,85442,"Billings MT",0
30.3960318,-88.8853078,2006,50028,"Biloxi MS",0
30.3960318,-88.8853078,1976,51448,"Biloxi MS",0
40.4842027,-88.9936873,1996,56018,"Bloomington IL",0
40.4842027,-88.9936873,1995,55938,"Bloomington IL",0
40.4842027,-88.9936873,2003,67700,"Bloomington IL",0
40.4842027,-88.9936873,1999,59247,"Bloomington IL",0
40.4842027,-88.9936873,2000,64808,"Bloomington IL",0
40.4842027,-88.9936873,1998,58591,"Bloomington IL",0
40.4842027,-88.9936873,1997,56249,"Bloomington IL",0
40.4842027,-88.9936873,2005,69553,"Bloomington IL",0
40.4842027,-88.9936873,2001,65137,"Bloomington IL",0
40.4842027,-88.9936873,2004,68832,"Bloomington IL",0
40.4842027,-88.9936873,1993,54533,"Bloomington IL",0
40.4842027,-88.9936873,1994,54789,"Bloomington IL",0
40.4842027,-88.9936873,2002,65755,"Bloomington IL",0
26.3683064,-80.1289321,1988,62981,"Boca Raton FL",0
41.6986416,-88.0683955,1998,53747,"Bolingbrook IL",0
41.6986416,-88.0683955,2005,64561,"Bolingbrook IL",0
41.6986416,-88.0683955,2001,54850,"Bolingbrook IL",0
41.6986416,-88.0683955,2002,55371,"Bolingbrook IL",0
41.6986416,-88.0683955,1999,54662,"Bolingbrook IL",0
41.6986416,-88.0683955,2000,54573,"Bolingbrook IL",0
41.6986416,-88.0683955,2004,64545,"Bolingbrook IL",0
41.6986416,-88.0683955,2003,61184,"Bolingbrook IL",0
40.0149856,-105.2705456,1973,81039,"Boulder CO",0
40.0149856,-105.2705456,1971,69000,"Boulder CO",0
40.0149856,-105.2705456,1974,82522,"Boulder CO",0
40.0149856,-105.2705456,1972,74692,"Boulder CO",0
26.5317866,-80.0905465,1996,52871,"Boynton Beach FL",0
42.0834335,-71.0183787,1990,92788,"Brockton MA",0
40.7989473,-81.378447,1999,79592,"Canton OH",0
40.7989473,-81.378447,2003,79873,"Canton OH",0
26.5628537,-81.9495331,1996,87690,"Cape Coral FL",0
26.5628537,-81.9495331,1988,54556,"Cape Coral FL",0
33.8316745,-118.281693,1968,61125,"Carson CA",0
33.8316745,-118.281693,1970,71150,"Carson CA",0
33.8316745,-118.281693,1969,68506,"Carson CA",0
41.9778795,-91.6656232,1991,109465,"Cedar Rapids IA",0
41.9778795,-91.6656232,1992,110130,"Cedar Rapids IA",0
41.9778795,-91.6656232,1998,114996,"Cedar Rapids IA",0
41.9778795,-91.6656232,1995,113959,"Cedar Rapids IA",0
41.9778795,-91.6656232,1993,112096,"Cedar Rapids IA",0
41.9778795,-91.6656232,1994,112693,"Cedar Rapids IA",0
41.9778795,-91.6656232,1997,114360,"Cedar Rapids IA",0
41.9778795,-91.6656232,1996,114360,"Cedar Rapids IA",0
40.1164204,-88.2433829,1998,64997,"Champaign IL",0
40.1164204,-88.2433829,2000,67518,"Champaign IL",0
40.1164204,-88.2433829,1997,67707,"Champaign IL",0
40.1164204,-88.2433829,2003,69735,"Champaign IL",0
40.1164204,-88.2433829,1995,67332,"Champaign IL",0
40.1164204,-88.2433829,2001,67861,"Champaign IL",0
40.1164204,-88.2433829,1996,67428,"Champaign IL",0
40.1164204,-88.2433829,1999,64723,"Champaign IL",0
40.1164204,-88.2433829,1994,65119,"Champaign IL",0
40.1164204,-88.2433829,2005,70581,"Champaign IL",0
40.1164204,-88.2433829,2004,72300,"Champaign IL",0
40.1164204,-88.2433829,2002,68504,"Champaign IL",0
40.1164204,-88.2433829,1993,64815,"Champaign IL",0
36.7682088,-76.2874927,2001,202257,"Chesapeake VA",0
41.8781136,-87.6297982,1984,3012524,"Chicago IL",0
42.1487043,-72.6078672,1989,57880,"Chicopee MA",0
42.1487043,-72.6078672,1992,56458,"Chicopee MA",0
42.1487043,-72.6078672,1994,56563,"Chicopee MA",0
42.1487043,-72.6078672,1993,56292,"Chicopee MA",0
42.1487043,-72.6078672,1966,60200,"Chicopee MA",0
42.1487043,-72.6078672,1995,55324,"Chicopee MA",0
41.8455877,-87.7539448,1998,71676,"Cicero IL",0
41.8455877,-87.7539448,1999,71780,"Cicero IL",0
41.8455877,-87.7539448,2000,85616,"Cicero IL",0
41.8455877,-87.7539448,2009,79870,"Cicero IL",0
41.8455877,-87.7539448,2005,83427,"Cicero IL",0
41.8455877,-87.7539448,2002,86866,"Cicero IL",0
41.8455877,-87.7539448,1996,75427,"Cicero IL",0
41.8455877,-87.7539448,1972,67409,"Cicero IL",0
41.8455877,-87.7539448,2006,83186,"Cicero IL",0
41.8455877,-87.7539448,1993,72121,"Cicero IL",0
41.8455877,-87.7539448,1997,75739,"Cicero IL",0
41.8455877,-87.7539448,2008,80428,"Cicero IL",0
41.8455877,-87.7539448,2007,81311,"Cicero IL",0
41.8455877,-87.7539448,1995,75319,"Cicero IL",0
41.8455877,-87.7539448,2003,84608,"Cicero IL",0
41.8455877,-87.7539448,1994,72459,"Cicero IL",0
41.8455877,-87.7539448,2001,86050,"Cicero IL",0
41.8455877,-87.7539448,2004,83423,"Cicero IL",0
39.1031182,-84.5120196,1998,344828,"Cincinnati OH",0
39.1031182,-84.5120196,1997,360875,"Cincinnati OH",0
27.9658533,-82.8001026,1988,101397,"Clearwater FL",0
45.1732394,-93.3030063,2003,62821,"Coon Rapids MN",0
26.271192,-80.2706044,1988,63338,"Coral Springs FL",0
26.271192,-80.2706044,1996,95579,"Coral Springs FL",0
41.2619444,-95.8608333,1992,55003,"Council Bluffs IA",0
41.2619444,-95.8608333,1994,55392,"Council Bluffs IA",0
41.2619444,-95.8608333,1997,55295,"Council Bluffs IA",0
41.2619444,-95.8608333,1995,55102,"Council Bluffs IA",0
41.2619444,-95.8608333,1991,54671,"Council Bluffs IA",0
41.1339449,-81.4845585,1997,56127,"Cuyahoga Falls OH",0
41.5236437,-90.5776367,1991,95959,"Davenport IA",0
26.0764783,-80.2521157,1996,59150,"Davie FL",0
29.2108147,-81.0228331,1988,61805,"Daytona Beach FL",0
34.6059253,-86.9833417,2001,54055,"Decatur AL",0
34.6059253,-86.9833417,2000,53846,"Decatur AL",0
39.8403147,-88.9548001,2004,79662,"Decatur IL",0
39.8403147,-88.9548001,1995,83656,"Decatur IL",0
39.8403147,-88.9548001,2001,82275,"Decatur IL",0
39.8403147,-88.9548001,1999,80523,"Decatur IL",0
39.8403147,-88.9548001,2005,79059,"Decatur IL",0
