"lat","lon","year","pop1","citystate","murder_per100k"
41.0814447,-81.5190053,1997,223562,"Akron OH",0
41.0814447,-81.5190053,1998,218044,"Akron OH",0
37.7652065,-122.2416355,1960,61316,"Alameda CA",0
37.7652065,-122.2416355,1994,80309,"Alameda CA",0
37.7652065,-122.2416355,1999,79848,"Alameda CA",0
37.7652065,-122.2416355,1989,77067,"Alameda CA",0
44.6365107,-123.1059282,2010,43695,"Albany OR",0
38.8048355,-77.0469214,2000,128283,"Alexandria VA",0
34.095287,-118.1270146,1963,56389,"Alhambra CA",0
34.095287,-118.1270146,1973,61100,"Alhambra CA",0
34.095287,-118.1270146,1994,84657,"Alhambra CA",0
34.095287,-118.1270146,1960,54807,"Alhambra CA",0
34.095287,-118.1270146,1961,54807,"Alhambra CA",0
33.1031744,-96.6705503,2007,78630,"Allen TX",0
33.1031744,-96.6705503,2005,67432,"Allen TX",0
33.1031744,-96.6705503,2006,71184,"Allen TX",0
33.1031744,-96.6705503,2004,63448,"Allen TX",0
40.5186809,-78.3947359,1992,52436,"Altoona PA",0
40.5186809,-78.3947359,1995,52618,"Altoona PA",0
40.5186809,-78.3947359,1990,51881,"Altoona PA",0
40.5186809,-78.3947359,1963,65351,"Altoona PA",0
40.5186809,-78.3947359,1984,55929,"Altoona PA",0
40.5186809,-78.3947359,1989,52966,"Altoona PA",0
40.5186809,-78.3947359,1997,52390,"Altoona PA",0
40.5186809,-78.3947359,1961,69407,"Altoona PA",0
42.034722,-93.62,2002,50912,"Ames IA",0
42.034722,-93.62,2006,52541,"Ames IA",0
42.034722,-93.62,2005,52529,"Ames IA",0
42.034722,-93.62,2004,53472,"Ames IA",0
42.034722,-93.62,2000,50731,"Ames IA",0
42.034722,-93.62,2009,57173,"Ames IA",0
40.1053196,-85.6802541,2000,59734,"Anderson IN",0
40.1053196,-85.6802541,2003,59202,"Anderson IN",0
40.1053196,-85.6802541,1997,62030,"Anderson IN",0
40.1053196,-85.6802541,2001,60071,"Anderson IN",0
40.1053196,-85.6802541,1999,58962,"Anderson IN",0
40.1053196,-85.6802541,1995,61385,"Anderson IN",0
40.1053196,-85.6802541,1979,69223,"Anderson IN",0
40.1053196,-85.6802541,1968,70250,"Anderson IN",0
40.1053196,-85.6802541,1996,61787,"Anderson IN",0
40.1053196,-85.6802541,1966,66600,"Anderson IN",0
40.1053196,-85.6802541,1969,70976,"Anderson IN",0
40.1053196,-85.6802541,2002,60506,"Anderson IN",0
40.1053196,-85.6802541,1994,61362,"Anderson IN",0
42.2808256,-83.7430378,2007,113011,"Ann Arbor MI",0
42.2808256,-83.7430378,2008,115148,"Ann Arbor MI",0
42.2808256,-83.7430378,2010,113934,"Ann Arbor MI",0
42.2808256,-83.7430378,1988,109724,"Ann Arbor MI",0
42.2808256,-83.7430378,1997,112001,"Ann Arbor MI",0
42.2808256,-83.7430378,2005,113660,"Ann Arbor MI",0
44.7319094,-93.21772,2008,50619,"Apple Valley MN",0
44.7319094,-93.21772,2006,50189,"Apple Valley MN",0
44.7319094,-93.21772,2007,50794,"Apple Valley MN",0
44.2619309,-88.4153847,1979,56517,"Appleton WI",0
44.2619309,-88.4153847,1988,55854,"Appleton WI",0
44.2619309,-88.4153847,1981,54212,"Appleton WI",0
44.2619309,-88.4153847,1980,53548,"Appleton WI",0
44.2619309,-88.4153847,1969,56414,"Appleton WI",0
44.2619309,-88.4153847,2000,58301,"Appleton WI",0
44.2619309,-88.4153847,2005,58846,"Appleton WI",0
44.2619309,-88.4153847,1998,58501,"Appleton WI",0
44.2619309,-88.4153847,2007,58511,"Appleton WI",0
44.2619309,-88.4153847,1983,54349,"Appleton WI",0
44.2619309,-88.4153847,1987,55515,"Appleton WI",0
44.2619309,-88.4153847,2002,59145,"Appleton WI",0
44.2619309,-88.4153847,1990,57220,"Appleton WI",0
44.2619309,-88.4153847,1972,54107,"Appleton WI",0
44.2619309,-88.4153847,1989,57669,"Appleton WI",0
44.2619309,-88.4153847,1992,58566,"Appleton WI",0
44.2619309,-88.4153847,1982,54510,"Appleton WI",0
44.2619309,-88.4153847,1984,54291,"Appleton WI",0
44.2619309,-88.4153847,1970,53742,"Appleton WI",0
44.2619309,-88.4153847,2008,58494,"Appleton WI",0
44.2619309,-88.4153847,2003,59059,"Appleton WI",0
44.2619309,-88.4153847,1976,55570,"Appleton WI",0
44.2619309,-88.4153847,1997,61665,"Appleton WI",0
34.1397292,-118.0353449,1996,51373,"Arcadia CA",0
34.1397292,-118.0353449,1998,51454,"Arcadia CA",0
34.1397292,-118.0353449,2000,53054,"Arcadia CA",0
34.1397292,-118.0353449,2009,56596,"Arcadia CA",0
42.0883603,-87.9806265,2004,76143,"Arlington Heights IL",0
42.0883603,-87.9806265,2000,76031,"Arlington Heights IL",0
42.0883603,-87.9806265,1983,67433,"Arlington Heights IL",0
42.0883603,-87.9806265,1992,76781,"Arlington Heights IL",0
42.0883603,-87.9806265,1975,69204,"Arlington Heights IL",0
42.0883603,-87.9806265,2005,75475,"Arlington Heights IL",0
42.0883603,-87.9806265,1997,78387,"Arlington Heights IL",0
42.0883603,-87.9806265,1988,69820,"Arlington Heights IL",0
42.0883603,-87.9806265,1999,77050,"Arlington Heights IL",0
42.0883603,-87.9806265,2010,75101,"Arlington Heights IL",0
42.0883603,-87.9806265,1973,69200,"Arlington Heights IL",0
42.0883603,-87.9806265,1980,66664,"Arlington Heights IL",0
42.0883603,-87.9806265,2001,76417,"Arlington Heights IL",0
42.0883603,-87.9806265,1996,78064,"Arlington Heights IL",0
42.0883603,-87.9806265,1994,77433,"Arlington Heights IL",0
42.0883603,-87.9806265,1998,77564,"Arlington Heights IL",0
42.0883603,-87.9806265,1972,65300,"Arlington Heights IL",0
42.0883603,-87.9806265,2008,73346,"Arlington Heights IL",0
42.0883603,-87.9806265,1984,66798,"Arlington Heights IL",0
42.0883603,-87.9806265,1995,77952,"Arlington Heights IL",0
42.0883603,-87.9806265,1978,71290,"Arlington Heights IL",0
42.0883603,-87.9806265,1987,70385,"Arlington Heights IL",0
42.0883603,-87.9806265,2003,76743,"Arlington Heights IL",0
42.0883603,-87.9806265,2002,77141,"Arlington Heights IL",0
42.0883603,-87.9806265,1989,73584,"Arlington Heights IL",0
42.4153925,-71.1564729,1973,51700,"Arlington MA",0
42.4153925,-71.1564729,1976,54786,"Arlington MA",0
39.8027644,-105.0874842,1999,96976,"Arvada CO",0
39.8027644,-105.0874842,1983,83243,"Arvada CO",0
39.8027644,-105.0874842,1974,80358,"Arvada CO",0
39.8027644,-105.0874842,2006,102926,"Arvada CO",0
39.8027644,-105.0874842,2004,100327,"Arvada CO",0
39.8027644,-105.0874842,1977,79540,"Arvada CO",0
39.8027644,-105.0874842,2000,99306,"Arvada CO",0
39.8027644,-105.0874842,1992,92580,"Arvada CO",0
47.3073228,-122.2284532,2008,48906,"Auburn WA",0
39.7294319,-104.8319195,1967,40415,"Aurora CO",0
39.7294319,-104.8319195,1963,35820,"Aurora CO",0
39.7294319,-104.8319195,1964,37148,"Aurora CO",0
33.4355977,-112.3496021,2010,76238,"Avondale AZ",0
33.4355977,-112.3496021,2005,61194,"Avondale AZ",0
33.4355977,-112.3496021,2004,56308,"Avondale AZ",0
39.2903848,-76.6121893,1999,650588,"Baltimore MD",0
42.3211522,-85.1797142,1994,54791,"Battle Creek MI",0
40.6687141,-74.1143091,1964,75983,"Bayonne NJ",0
40.6687141,-74.1143091,1994,62467,"Bayonne NJ",0
40.6687141,-74.1143091,2008,57170,"Bayonne NJ",0
40.6687141,-74.1143091,1965,72120,"Bayonne NJ",0
40.6687141,-74.1143091,2009,56982,"Bayonne NJ",0
40.6687141,-74.1143091,1993,62270,"Bayonne NJ",0
40.6687141,-74.1143091,2010,63024,"Bayonne NJ",0
45.487062,-122.8037102,1996,61636,"Beaverton OR",0
45.487062,-122.8037102,2008,92198,"Beaverton OR",0
45.487062,-122.8037102,1993,58387,"Beaverton OR",0
45.487062,-122.8037102,1997,62386,"Beaverton OR",0
45.487062,-122.8037102,2007,91184,"Beaverton OR",0
45.487062,-122.8037102,2010,89803,"Beaverton OR",0
47.610377,-122.2006786,2007,118984,"Bellevue WA",0
47.610377,-122.2006786,2008,122459,"Bellevue WA",0
47.610377,-122.2006786,2000,109569,"Bellevue WA",0
47.610377,-122.2006786,2003,114056,"Bellevue WA",0
47.610377,-122.2006786,2001,111314,"Bellevue WA",0
47.610377,-122.2006786,1995,85626,"Bellevue WA",0
47.610377,-122.2006786,1999,105279,"Bellevue WA",0
33.8816818,-118.1170117,1963,51750,"Bellflower CA",0
33.8816818,-118.1170117,1986,59812,"Bellflower CA",0
33.8816818,-118.1170117,1966,55500,"Bellflower CA",0
33.8816818,-118.1170117,1968,57075,"Bellflower CA",0
33.8816818,-118.1170117,1970,51454,"Bellflower CA",0
33.8816818,-118.1170117,1964,51375,"Bellflower CA",0
33.8816818,-118.1170117,1969,57291,"Bellflower CA",0
33.8816818,-118.1170117,1965,55500,"Bellflower CA",0
33.8816818,-118.1170117,1967,55500,"Bellflower CA",0
48.74908,-122.4781473,2006,75828,"Bellingham WA",0
48.74908,-122.4781473,1990,52179,"Bellingham WA",0
48.74908,-122.4781473,1999,62624,"Bellingham WA",0
44.0581728,-121.3153096,2007,75185,"Bend OR",0
