"lat","long","year","pop1","citystate","rape_per100k"
41.08,-81.52,1997,223562,"Akron OH",0
41.08,-81.52,1998,218044,"Akron OH",0
37.77,-122.26,1960,61316,"Alameda CA",0
40.6,-75.48,1960,108347,"Allentown PA",0
40.6,-75.48,1961,108347,"Allentown PA",0
40.6,-75.48,1963,106714,"Allentown PA",0
40.51,-78.4,1963,65351,"Altoona PA",0
40.51,-78.4,1961,69407,"Altoona PA",0
40.09,-85.69,2000,59734,"Anderson IN",0
40.09,-85.69,2003,59202,"Anderson IN",0
40.09,-85.69,1997,62030,"Anderson IN",0
40.09,-85.69,2001,60071,"Anderson IN",0
40.09,-85.69,1999,58962,"Anderson IN",0
40.09,-85.69,1995,61385,"Anderson IN",0
40.09,-85.69,1996,61787,"Anderson IN",0
40.09,-85.69,2002,60506,"Anderson IN",0
40.09,-85.69,1994,61362,"Anderson IN",0
42.28,-83.73,1962,67688,"Ann Arbor MI",0
42.28,-83.73,1993,110277,"Ann Arbor MI",0
44.75,-93.2,2008,50619,"Apple Valley MN",0
44.75,-93.2,2006,50189,"Apple Valley MN",0
44.75,-93.2,2007,50794,"Apple Valley MN",0
44.27,-88.4,1998,58501,"Appleton WI",0
44.27,-88.4,1964,50261,"Appleton WI",0
44.27,-88.4,1991,57959,"Appleton WI",0
44.27,-88.4,1970,53742,"Appleton WI",0
42.09,-87.98,1986,69085,"Arlington Heights IL",0
42.09,-87.98,2004,76143,"Arlington Heights IL",0
42.09,-87.98,2000,76031,"Arlington Heights IL",0
42.09,-87.98,1992,76781,"Arlington Heights IL",0
42.09,-87.98,2005,75475,"Arlington Heights IL",0
42.09,-87.98,1997,78387,"Arlington Heights IL",0
42.09,-87.98,1988,69820,"Arlington Heights IL",0
42.09,-87.98,1970,64884,"Arlington Heights IL",0
42.09,-87.98,1999,77050,"Arlington Heights IL",0
42.09,-87.98,2007,73802,"Arlington Heights IL",0
42.09,-87.98,1990,75460,"Arlington Heights IL",0
42.09,-87.98,1967,52787,"Arlington Heights IL",0
42.09,-87.98,1991,76201,"Arlington Heights IL",0
42.09,-87.98,2001,76417,"Arlington Heights IL",0
42.09,-87.98,1996,78064,"Arlington Heights IL",0
42.09,-87.98,2006,75021,"Arlington Heights IL",0
42.09,-87.98,1994,77433,"Arlington Heights IL",0
42.09,-87.98,1998,77564,"Arlington Heights IL",0
42.09,-87.98,2009,73061,"Arlington Heights IL",0
42.09,-87.98,1972,65300,"Arlington Heights IL",0
42.09,-87.98,2008,73346,"Arlington Heights IL",0
42.09,-87.98,1995,77952,"Arlington Heights IL",0
42.09,-87.98,1993,77071,"Arlington Heights IL",0
42.09,-87.98,1987,70385,"Arlington Heights IL",0
42.09,-87.98,2003,76743,"Arlington Heights IL",0
42.09,-87.98,2002,77141,"Arlington Heights IL",0
42.09,-87.98,1989,73584,"Arlington Heights IL",0
42.42,-71.16,1971,52200,"Arlington MA",0
42.42,-71.16,1965,52482,"Arlington MA",0
42.42,-71.16,1977,53266,"Arlington MA",0
42.42,-71.16,1962,50447,"Arlington MA",0
42.42,-71.16,1963,50878,"Arlington MA",0
35.57,-82.55,1961,60192,"Asheville NC",0
41.77,-88.29,1991,99990,"Aurora IL",0
41.77,-88.29,1998,121237,"Aurora IL",0
41.77,-88.29,1995,113058,"Aurora IL",0
41.77,-88.29,1996,113220,"Aurora IL",0
41.77,-88.29,1987,85600,"Aurora IL",0
41.77,-88.29,2007,122942,"Aurora IL",0
41.77,-88.29,1993,106694,"Aurora IL",0
41.77,-88.29,2009,124154,"Aurora IL",0
41.77,-88.29,2002,102607,"Aurora IL",0
41.77,-88.29,2008,122835,"Aurora IL",0
41.77,-88.29,2001,101643,"Aurora IL",0
41.77,-88.29,2005,118411,"Aurora IL",0
41.77,-88.29,1994,107195,"Aurora IL",0
41.77,-88.29,2003,111685,"Aurora IL",0
41.77,-88.29,2006,119609,"Aurora IL",0
41.77,-88.29,2004,115446,"Aurora IL",0
41.77,-88.29,1992,99990,"Aurora IL",0
41.77,-88.29,1986,86040,"Aurora IL",0
41.77,-88.29,1997,113688,"Aurora IL",0
41.77,-88.29,1990,99581,"Aurora IL",0
41.77,-88.29,1988,88994,"Aurora IL",0
41.77,-88.29,1989,91479,"Aurora IL",0
41.77,-88.29,2000,104085,"Aurora IL",0
41.77,-88.29,1999,125596,"Aurora IL",0
33.42,-112.32,2005,61194,"Avondale AZ",0
33.42,-112.32,2004,56308,"Avondale AZ",0
39.3,-76.61,1999,650588,"Baltimore MD",0
42.3,-85.23,1993,54688,"Battle Creek MI",0
42.3,-85.23,1994,54791,"Battle Creek MI",0
40.66,-74.11,1963,73541,"Bayonne NJ",0
40.66,-74.11,1985,64721,"Bayonne NJ",0
40.66,-74.11,1972,73983,"Bayonne NJ",0
33.89,-118.13,1963,51750,"Bellflower CA",0
33.89,-118.13,1966,55500,"Bellflower CA",0
33.89,-118.13,1968,57075,"Bellflower CA",0
33.89,-118.13,1970,51454,"Bellflower CA",0
33.89,-118.13,1964,51375,"Bellflower CA",0
33.89,-118.13,1969,57291,"Bellflower CA",0
33.89,-118.13,1965,55500,"Bellflower CA",0
33.89,-118.13,1967,55500,"Bellflower CA",0
41.84,-87.79,2001,54290,"Berwyn IL",0
41.84,-87.79,1963,53519,"Berwyn IL",0
41.84,-87.79,1968,55730,"Berwyn IL",0
41.84,-87.79,1960,54224,"Berwyn IL",0
41.84,-87.79,2000,54016,"Berwyn IL",0
41.84,-87.79,2002,54805,"Berwyn IL",0
41.84,-87.79,2003,53533,"Berwyn IL",0
41.84,-87.79,2006,51685,"Berwyn IL",0
41.84,-87.79,2007,50385,"Berwyn IL",0
41.84,-87.79,2005,52203,"Berwyn IL",0
41.84,-87.79,2004,52783,"Berwyn IL",0
41.84,-87.79,1961,54224,"Berwyn IL",0
41.84,-87.79,1972,52843,"Berwyn IL",0
41.84,-87.79,1964,54565,"Berwyn IL",0
40.63,-75.37,1960,55325,"Bethlehem PA",0
40.63,-75.37,1961,55325,"Bethlehem PA",0
40.63,-75.37,1962,55870,"Bethlehem PA",0
40.63,-75.37,1968,57252,"Bethlehem PA",0
45.79,-108.54,1995,87977,"Billings MT",0
45.79,-108.54,1964,53706,"Billings MT",0
45.79,-108.54,1998,91715,"Billings MT",0
45.79,-108.54,1961,52851,"Billings MT",0
45.79,-108.54,1994,87173,"Billings MT",0
45.79,-108.54,1963,56389,"Billings MT",0
45.79,-108.54,1996,88886,"Billings MT",0
45.79,-108.54,1993,85442,"Billings MT",0
